S 10e080,1 miss
L 1ce0c0,8 miss
L 1ce0a4,4 miss
L 1ce0a0,4 hit
S 18e0a0,4 miss eviction
S 18e0a4,4 hit
S 18e0a8,4 hit
S 18e0ac,4 hit
S 18e0b0,4 hit
S 18e0b4,4 hit
S 18e0b8,4 hit
S 18e0bc,4 hit
S 18e0c0,4 miss eviction
S 18e0c4,4 hit
S 18e0c8,4 hit
S 18e0cc,4 hit
S 18e0d0,4 hit
S 18e0d4,4 hit
S 18e0d8,4 hit
S 18e0dc,4 hit
S 18e0e0,4 miss
S 18e0e4,4 hit
S 18e0e8,4 hit
S 18e0ec,4 hit
S 18e0f0,4 hit
S 18e0f4,4 hit
S 18e0f8,4 hit
S 18e0fc,4 hit
S 18e100,4 miss
S 18e104,4 hit
S 18e108,4 hit
S 18e10c,4 hit
S 18e110,4 hit
S 18e114,4 hit
S 18e118,4 hit
S 18e11c,4 hit
S 18e120,4 miss
S 18e124,4 hit
S 18e128,4 hit
S 18e12c,4 hit
S 18e130,4 hit
S 18e134,4 hit
S 18e138,4 hit
S 18e13c,4 hit
S 18e140,4 miss
S 18e144,4 hit
S 18e148,4 hit
S 18e14c,4 hit
S 18e150,4 hit
S 18e154,4 hit
S 18e158,4 hit
S 18e15c,4 hit
S 18e160,4 miss
S 18e164,4 hit
S 18e168,4 hit
S 18e16c,4 hit
S 18e170,4 hit
S 18e174,4 hit
S 18e178,4 hit
S 18e17c,4 hit
S 18e180,4 miss
S 18e184,4 hit
S 18e188,4 hit
S 18e18c,4 hit
S 18e190,4 hit
S 18e194,4 hit
S 18e198,4 hit
S 18e19c,4 hit
S 18e1a0,4 miss
S 18e1a4,4 hit
S 18e1a8,4 hit
S 18e1ac,4 hit
S 18e1b0,4 hit
S 18e1b4,4 hit
S 18e1b8,4 hit
S 18e1bc,4 hit
S 18e1c0,4 miss
S 18e1c4,4 hit
S 18e1c8,4 hit
S 18e1cc,4 hit
S 18e1d0,4 hit
S 18e1d4,4 hit
S 18e1d8,4 hit
S 18e1dc,4 hit
S 18e1e0,4 miss
S 18e1e4,4 hit
S 18e1e8,4 hit
S 18e1ec,4 hit
S 18e1f0,4 hit
S 18e1f4,4 hit
S 18e1f8,4 hit
S 18e1fc,4 hit
S 18e200,4 miss
S 18e204,4 hit
S 18e208,4 hit
S 18e20c,4 hit
S 18e210,4 hit
S 18e214,4 hit
S 18e218,4 hit
S 18e21c,4 hit
S 18e220,4 miss
S 18e224,4 hit
S 18e228,4 hit
S 18e22c,4 hit
S 18e230,4 hit
S 18e234,4 hit
S 18e238,4 hit
S 18e23c,4 hit
S 18e240,4 miss
S 18e244,4 hit
S 18e248,4 hit
S 18e24c,4 hit
S 18e250,4 hit
S 18e254,4 hit
S 18e258,4 hit
S 18e25c,4 hit
S 18e260,4 miss
S 18e264,4 hit
S 18e268,4 hit
S 18e26c,4 hit
S 18e270,4 hit
S 18e274,4 hit
S 18e278,4 hit
S 18e27c,4 hit
S 18e280,4 miss
S 18e284,4 hit
S 18e288,4 hit
S 18e28c,4 hit
S 18e290,4 hit
S 18e294,4 hit
S 18e298,4 hit
S 18e29c,4 hit
S 18e2a0,4 miss
S 18e2a4,4 hit
S 18e2a8,4 hit
S 18e2ac,4 hit
S 18e2b0,4 hit
S 18e2b4,4 hit
S 18e2b8,4 hit
S 18e2bc,4 hit
S 18e2c0,4 miss
S 18e2c4,4 hit
S 18e2c8,4 hit
S 18e2cc,4 hit
S 18e2d0,4 hit
S 18e2d4,4 hit
S 18e2d8,4 hit
S 18e2dc,4 hit
S 18e2e0,4 miss
S 18e2e4,4 hit
S 18e2e8,4 hit
S 18e2ec,4 hit
S 18e2f0,4 hit
S 18e2f4,4 hit
S 18e2f8,4 hit
S 18e2fc,4 hit
S 18e300,4 miss
S 18e304,4 hit
S 18e308,4 hit
S 18e30c,4 hit
S 18e310,4 hit
S 18e314,4 hit
S 18e318,4 hit
S 18e31c,4 hit
S 18e320,4 miss
S 18e324,4 hit
S 18e328,4 hit
S 18e32c,4 hit
S 18e330,4 hit
S 18e334,4 hit
S 18e338,4 hit
S 18e33c,4 hit
S 18e340,4 miss
S 18e344,4 hit
S 18e348,4 hit
S 18e34c,4 hit
S 18e350,4 hit
S 18e354,4 hit
S 18e358,4 hit
S 18e35c,4 hit
S 18e360,4 miss
S 18e364,4 hit
S 18e368,4 hit
S 18e36c,4 hit
S 18e370,4 hit
S 18e374,4 hit
S 18e378,4 hit
S 18e37c,4 hit
S 18e380,4 miss
S 18e384,4 hit
S 18e388,4 hit
S 18e38c,4 hit
S 18e390,4 hit
S 18e394,4 hit
S 18e398,4 hit
S 18e39c,4 hit
S 18e3a0,4 miss
S 18e3a4,4 hit
S 18e3a8,4 hit
S 18e3ac,4 hit
S 18e3b0,4 hit
S 18e3b4,4 hit
S 18e3b8,4 hit
S 18e3bc,4 hit
S 18e3c0,4 miss
S 18e3c4,4 hit
S 18e3c8,4 hit
S 18e3cc,4 hit
S 18e3d0,4 hit
S 18e3d4,4 hit
S 18e3d8,4 hit
S 18e3dc,4 hit
S 18e3e0,4 miss
S 18e3e4,4 hit
S 18e3e8,4 hit
S 18e3ec,4 hit
S 18e3f0,4 hit
S 18e3f4,4 hit
S 18e3f8,4 hit
S 18e3fc,4 hit
S 18e400,4 miss
S 18e404,4 hit
S 18e408,4 hit
S 18e40c,4 hit
S 18e410,4 hit
S 18e414,4 hit
S 18e418,4 hit
S 18e41c,4 hit
S 18e420,4 miss
S 18e424,4 hit
S 18e428,4 hit
S 18e42c,4 hit
S 18e430,4 hit
S 18e434,4 hit
S 18e438,4 hit
S 18e43c,4 hit
S 18e440,4 miss
S 18e444,4 hit
S 18e448,4 hit
S 18e44c,4 hit
S 18e450,4 hit
S 18e454,4 hit
S 18e458,4 hit
S 18e45c,4 hit
S 18e460,4 miss
S 18e464,4 hit
S 18e468,4 hit
S 18e46c,4 hit
S 18e470,4 hit
S 18e474,4 hit
S 18e478,4 hit
S 18e47c,4 hit
S 18e480,4 miss eviction
S 18e484,4 hit
S 18e488,4 hit
S 18e48c,4 hit
S 18e490,4 hit
S 18e494,4 hit
S 18e498,4 hit
S 18e49c,4 hit
S 18e4a0,4 miss eviction
S 18e4a4,4 hit
S 18e4a8,4 hit
S 18e4ac,4 hit
S 18e4b0,4 hit
S 18e4b4,4 hit
S 18e4b8,4 hit
S 18e4bc,4 hit
S 18e4c0,4 miss eviction
S 18e4c4,4 hit
S 18e4c8,4 hit
S 18e4cc,4 hit
S 18e4d0,4 hit
S 18e4d4,4 hit
S 18e4d8,4 hit
S 18e4dc,4 hit
S 18e4e0,4 miss eviction
S 18e4e4,4 hit
S 18e4e8,4 hit
S 18e4ec,4 hit
S 18e4f0,4 hit
S 18e4f4,4 hit
S 18e4f8,4 hit
S 18e4fc,4 hit
S 18e500,4 miss eviction
S 18e504,4 hit
S 18e508,4 hit
S 18e50c,4 hit
S 18e510,4 hit
S 18e514,4 hit
S 18e518,4 hit
S 18e51c,4 hit
S 18e520,4 miss eviction
S 18e524,4 hit
S 18e528,4 hit
S 18e52c,4 hit
S 18e530,4 hit
S 18e534,4 hit
S 18e538,4 hit
S 18e53c,4 hit
S 18e540,4 miss eviction
S 18e544,4 hit
S 18e548,4 hit
S 18e54c,4 hit
S 18e550,4 hit
S 18e554,4 hit
S 18e558,4 hit
S 18e55c,4 hit
S 18e560,4 miss eviction
